participant_id,session,trial_sequence,is_practice,global_stim_idx,stim_file,response_detailed,response_short,gender,age
"11",1,1,1,0,Figure S1.png,"NNNN","NNNN","Мужской","28"
"11",1,2,1,1,Figure S2.png,"NNNN","NNNN","Мужской","28"
"11",1,3,1,2,Figure S3.png,"NNNN","NNNN","Мужской","28"
"11",1,1,0,125,Figure S126.png,,,"Мужской","28"
"11",1,2,0,143,Figure S144.png,,,"Мужской","28"
"11",1,3,0,55,Figure S56.png,,,"Мужской","28"
"11",1,4,0,124,Figure S125.png,,,"Мужской","28"
"11",1,5,0,99,Figure S100.png,,,"Мужской","28"
"11",1,6,0,61,Figure S62.png,,,"Мужской","28"
"11",1,7,0,7,Figure S8.png,,,"Мужской","28"
"11",1,8,0,45,Figure S46.png,,,"Мужской","28"
"11",1,9,0,17,Figure S18.png,,,"Мужской","28"
"11",1,10,0,35,Figure S36.png,,,"Мужской","28"
"11",1,11,0,131,Figure S132.png,,,"Мужской","28"
"11",1,12,0,134,Figure S135.png,,,"Мужской","28"
"11",1,13,0,142,Figure S143.png,,,"Мужской","28"
"11",1,14,0,101,Figure S102.png,,,"Мужской","28"
"11",1,15,0,116,Figure S117.png,,,"Мужской","28"
"11",1,16,0,79,Figure S80.png,,,"Мужской","28"
"11",1,17,0,57,Figure S58.png,,,"Мужской","28"
"11",1,18,0,90,Figure S91.png,,,"Мужской","28"
"11",1,19,0,102,Figure S103.png,,,"Мужской","28"
"11",1,20,0,13,Figure S14.png,,,"Мужской","28"
"11",1,21,0,39,Figure S40.png,,,"Мужской","28"
"11",1,22,0,95,Figure S96.png,,,"Мужской","28"
"11",1,23,0,38,Figure S39.png,,,"Мужской","28"
"11",1,24,0,52,Figure S53.png,,,"Мужской","28"
